"","x"
"ANXA5",3882.89947754127
"SEC11C",3879.46696321316
"MYC",3876.96604739388
"SRM",3875.05281047181
"WHSC1L1",3868.81319998489
"RNF7",3866.67204948286
"PSIP1",3852.20944051691
"PPP1CC",3842.21259436498
"RNASEH2C",3841.68158736337
"RBX1",3838.07324368981
"CLTB",3835.71861427939
"HMGA1",3835.33911932226
"EVI2B",3835.12832165543
"MYLIP",3834.01750310015
"SPSB3",3828.38590414438
"NDUFA6",3827.65354503322
"NT5C",3827.26332852213
"NCL",3824.45522269547
"CHURC1",3813.29121223613
"MRPL41",3812.08999844277
"SNRPD3",3809.64930533975
"PDLIM2",3809.41328307101
"MRFAP1",3807.68247197678
"ARL6IP1",3799.48166810339
"RBCK1",3798.60449970007
"PMAIP1",3797.80235190236
"WAS",3796.73358645887
"EIF6",3795.6926497129
"GABARAP",3785.06718731898
"PAPOLA",3783.91013966167
"COPZ1",3783.29911911472
"POLE4",3781.75256390437
"N4BP2L2",3781.62100920398
"SRRM1",3780.39653197006
"POLR2F",3779.73173937542
"PDCD2",3778.1138718422
"C20orf24",3777.99992742482
"PSMD7",3772.66273155201
"HNRNPH3",3769.21522367722
"NDUFB1",3768.67208407351
"MSN",3761.77515215655
"PPP2R1A",3761.66500849206
"CRBN",3755.60392091174
"DDOST",3754.83607292921
"C17orf89",3754.31506048347
"CLNS1A",3753.33008846324
"AUP1",3751.78894794143
"TBCC",3748.721190598
"VPS51",3745.26011173844
"ENY2",3744.4880332901
"YPEL5",3743.60084645868
"HLA.DMB",3740.73271413502
"GGNBP2",3740.56543725457
"TMEM256",3740.20644288518
"LAMTOR2",3738.44233585071
"CD47",3738.3600018479
"EIF4H",3735.86430104947
"TMIGD2",3735.81267548638
