"","x"
"COX7C",7461.00597210016
"EIF3K",7456.5070637272
"UCP2",7435.8722899706
"TRAF3IP3",7431.94542902727
"CD247",7381.21457581456
"EIF3H",7379.20674136488
"HNRNPA2B1",7379.14622489523
"COMMD6",7345.5814392606
"EIF3G",7335.17457587182
"GZMM",7333.93047635952
"SNRPD2",7327.79558033249
"GSTK1",7323.69935422391
"PNRC1",7314.12382624156
"SSR2",7301.88707192247
"EIF4A2",7300.52929415638
"PSME1",7300.26306837106
"ATP5G2",7298.47255949661
"CD48",7283.78083210882
"CXCR4",7241.88333471492
"ERP29",7239.25945444092
"LY6E",7237.62193026784
"KLF6",7225.39511043716
"ITGB2",7220.11170490056
"EIF3F",7214.89777357639
"LCK",7214.76730301474
"CRIP1",7213.6712787873
"HSP90AA1",7208.17978049714
"C19orf43",7207.57760243386
"RPL17",7195.36726126625
"RPS10",7188.82302268807
"PPIA",7179.48209228598
"SSR4",7163.85367362146
"ID2",7162.09832760644
"HNRNPDL",7145.0866027947
"SELL",7140.5132755962
"EDF1",7139.97423539772
"CD8B",7139.30075534689
"EIF4A1",7136.95221998841
"RARRES3",7127.41440477093
"ALDOA",7122.72278268346
"CNBP",7109.96591855015
"CHCHD2",7108.99725963117
"PRF1",7101.00277394899
"MYL12B",7096.41412381608
"CCNI",7083.99145563365
"ISG20",7078.08544769067
"PSMA7",7063.80957249033
"RPL24",7060.66263158637
"S100A9",7054.87969936111
"GPX1",7044.46444994763
"VAMP2",7022.4290148354
"APRT",7020.93374068057
"UQCR11.1",7017.56083907833
"SRP14",7015.84075842753
"UBA52",6987.63618434913
"CD53",6962.72703928419
"HMGB1",6955.25469112476
"ATP5D",6953.42241963762
"NAP1L1",6934.82581526443
"UBXN1",6927.50255243362
"IL2RG",6916.50137007087
"ZFAS1",6902.3240947934
"RNASET2",6901.97340316048
"HLA.DQA2",6888.6345232972
"CAPZB",6874.9696867267
"PTGDS",6849.85133877419
"OST4",6839.96113559834
"EIF3E",6834.15972481041
"RBM3",6816.62590839066
"MS4A1",6756.83123542659
"ARL6IP4",6745.6826099837
"TSPO",6731.38271987874
"UQCRH",6730.94747986052
"C12orf57",6727.67820291272
"PSME2",6712.3722128725
"COX6B1",6712.18018349886
"ENO1",6707.14892846315
"TPI1",6701.48020819742
"MZT2B",6697.6059605708
"ATP5O",6665.94945247311
"PCBP2",6648.06743275682
"RPSAP58",6643.93846302613
"UXT",6632.76539954912
"ANAPC16",6627.59431167848
"CUTA",6622.20226663684
"GPX4",6602.85517609697
"VAMP8",6592.47699163532
"RGS10",6589.80265812478
"HIGD2A",6583.03669301315
"HLA.DQB1",6581.23228104223
"IL7R",6579.5980937745
"ATP6V1G1",6566.31009975255
"SERP1",6564.4799971616
"HMGN1",6559.28422784301
"PPP1CA",6537.10587902492
"NDUFA4",6527.16444437954
"SMDT1",6491.19916592683
"SOD1",6490.10839669204
"LAT",6488.52099564208
"HNRNPA0",6458.07056969137
"MIF",6409.08049132828
"TCEB2",6406.98526209535
"LAMTOR4",6399.50545985773
"HSP90AB1",6395.8607694761
"ACAP1",6395.28191074166
"ICAM3",6380.64926329098
"ST13",6370.59154478204
"PRR13",6359.9013799931
"ATP6V0E1",6346.86043171575
"CCDC85B",6346.09038322885
"SF3B5",6313.43318733657
"NEDD8",6311.39159646763
"UBE2D3",6309.38667284434
"COX6C",6302.12451971514
"GTF3A",6292.94527705512
"ISCU",6287.84116008707
"PPIB",6282.69301767173
"UBL5",6279.72236563216
"SLC25A5",6278.61875328633
"BTG2",6275.8827287966
"SUMO2",6267.62870048159
"TBC1D10C",6266.5233413511
"PARK7",6259.11014818489
"PKM",6245.23377275925
"PSMB9",6242.77843718625
"SKP1",6234.12288215773
"NDUFB11",6232.59180590833
"POLR2L",6226.434828679
"SRSF3",6223.71757460697
"CALM3",6218.93336366497
"SNHG7",6205.87755990995
"COPE",6202.84836734193
"KLF2",6202.45352337271
"SEPT1",6195.85957358678
"SAT1",6195.7632943661
"PLP2",6187.48627165559
"CD2",6174.92684098883
"S1PR4",6171.95088537924
"CD63",6170.4968374552
"LDHA",6168.53245950642
"SEPT7",6164.52678397318
"C11orf31",6163.7192745846
"TPM3",6163.25532807198
"SAP18",6161.28009248642
"PEBP1",6157.78233947842
"PCBP1",6149.6890316815
"TMBIM6",6148.35141531468
"HNRNPK",6142.39270990918
"YWHAB",6141.4265210104
"GUK1",6135.97440602924
"CIB1",6134.11961687512
"C19orf53",6125.42338153308
"COX6A1",6116.11662726898
"ANP32B",6112.17296724195
"PIK3IP1",6101.10133599435
"ATP5A1",6099.31230956341
"CALM2",6095.42010846687
"C9orf16",6094.80990059762
"TUBA1B",6092.13766507029
"NDUFB9",6086.93723757508
"FBL",6085.89925289407
"C1orf162",6054.72593332008
"SLC25A3",6036.04316269839
"UBE2D2",6033.08542136611
"TRAPPC1",6017.05865802515
"ARPC5",6016.97814480048
"COX5B",6008.28509778238
"EIF3D",5999.45119472124
"EID1",5998.57019110851
"LITAF",5990.74376250104
"NDUFS5",5979.96726247446
"CCND3",5978.64894738519
"NBEAL1",5972.71981523155
"NDUFB8.1",5962.70132292801
