,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.021080604027101314,0.026320415042391448,0.020367787402441506,0.003796850580659164,0.02581096875641902,0.0012101498869823125,0.01815930986850757,0.023908387744323974,0.00420735473037143,0.0,0.009028608149035467,0.03294572884046072,0.025498289838547544,0.012952836903580362
markers_found,170.8,128.8,89.8,150.4,145.4,14.8,156.0,91.2,19.2,151.4,177.4,119.6,149.2,171.2
computation_time,0.5687439999999999,117.283068,47.295702,1.3265280000000002,0.073348,0.09334400000000001,95.251412,2.3024679999999997,4361.7523679999995,54.588,3.6072,3.02,2.9023339999999997,43.737
singlecellnet_F1,0.9743100592583277,0.9738461484036828,0.9733558003783781,0.9686581429273942,0.9729282417073252,0.7617407328908616,0.972413272333414,0.9747330329627847,0.19410809351917085,0.9743263939220427,0.9719627685848693,0.9738414780068165,0.9738502824486286,0.9738372171041071
singleR_F1,0.9726256213775522,0.9740595530272277,0.9679810685638891,0.9662005018460332,0.9722170408269359,0.6879282217908276,0.9740246260375894,0.9649703686930302,0.19388723868534177,0.9716707751197745,0.9707213264541832,0.9707989233339678,0.9726121664743959,0.9710896734858482
itclust_F1,0.9260320744295674,0.9220847147064983,0.9065317782757963,0.9526928708224588,0.9048805610123308,0.7637302652062381,0.9412963049329036,0.9230889874002907,0.17908391718978484,0.8904471843476699,0.9370431126577845,0.9238129137557746,0.9261589302260284,0.8895201885994533
