,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.03266292407195671,0.04277140438701114,0.06806573863409665,0.04869222107782588,0.03624320249280008,0.0038634490128637245,0.016386340889636204,0.02854840057549604,0.010360642887204796,0.0,0.017170269506071804,0.04644916823269792,0.03316736527994211,0.024387393350415267
markers_found,104.2,55.6,35.6,50.2,73.6,10.6,66.2,105.6,27.0,136.8,72.6,56.8,112.2,70.6
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974424301.1093861,0.0,0.0,0.0,0.0,0.0
singlecellnet_F1,0.9952082134495484,0.997247191738461,0.9936254965202469,0.9972946078200241,0.9958952404876882,0.6823767087947348,0.9945179522205324,0.9938030666639669,0.4,0.9944900937021067,0.9958923179034465,0.996582267525828,0.9938030666639669,0.996582267525828
singleR_F1,0.9896720408162871,0.9980132971254335,0.957184649824353,0.9939759922479311,0.9979529065394989,0.44239272774916427,0.9945757887146918,0.9917231034021476,0.3979670338044897,0.9910384555417435,0.9966142836611562,0.9979829776897313,0.9896720408162871,0.9959329338181405
itclust_F1,0.9959664609097458,0.9821178952531142,0.9572417139844539,0.9946935444660145,0.9863343260328087,0.652053029549679,0.9778557404985186,0.9939525103465972,0.397986577181208,0.9939560878861462,0.9853335528559655,0.9843968784395851,0.9954208239815632,0.9924509634904896
singlecellnet_F1_rare,0.9566563467492261,0.9777089783281735,0.9069573443412453,0.9882352941176471,0.9671826625386997,0.38584923848081737,0.9449604403164775,0.9344341245270039,0.4,0.9449604403164775,0.9671826625386997,0.9777089783281735,0.9344341245270039,0.9777089783281735
singleR_F1_rare,0.9211988304093568,0.9894736842105264,0.8491351785469433,0.9587114845938375,0.9777089783281735,0.0,0.9577089783281734,0.9211988304093568,0.3894736842105263,0.9211988304093568,0.9777089783281735,0.9787114845938376,0.9211988304093568,0.9681851688043638
itclust_F1_rare,0.9694235588972431,0.8096908939014202,0.6154955570745044,0.9904761904761905,0.8593769162890176,0.26627594627594625,0.76711939268461,0.9389473684210528,0.38,0.9494235588972432,0.8269696969696969,0.8167995746943115,0.9522943722943722,0.9224335348174357
