,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.004397714309882199,0.04429945208293153,0.022383697840252296,0.05626532372542884,0.04627227346613781,0.05981910909330622,0.018080688750014732
markers_found,7.0,60.0,58.0,44.0,57.0,47.0,73.0
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seurat_ARI,0.0011073029708063152,0.49190605757483424,0.42531144778135976,0.8410134810388306,0.4866278701388135,0.5114833866253817,0.41634016076478353
sc3_ARI,0.004835808582972436,0.95175168420831,0.9846851595978329,0.8669002822038525,0.9740448048686503,0.9885230799379816,0.7243659633897832
cidr_ARI,0.0031900765977464426,0.47310096134658597,0.5276113400365647,0.6394957481270129,0.4763197520898904,0.7689694504870389,0.578649516266846
seurat_F1_rare,0.0666403801814999,0.21351739348314855,0.12178577838363411,0.46040619844006925,0.2112413996667093,0.16000123789433807,0.19914751528157573
sc3_F1_rare,0.07589162105968913,0.5540412704136696,0.5393347282476098,0.4944274697567571,0.5347002455647907,0.6625246284609247,0.4665779759434704
cidr_F1_rare,0.07724471910374915,0.09452551882070312,0.14648693592649176,0.4458585574070579,0.09696176876878371,0.4148399436173228,0.30642970838872163
