,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0027208141943289104,0.03303386054361685,0.01428895479078098,0.004852142674193821,0.0327841175033169,0.013844505777493524,0.010137636180975284
markers_found,3.0,113.0,137.0,110.0,120.0,113.0,155.0
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seurat_ARI,0.33094921169704483,0.667402236561534,0.900037337571329,0.8393124797562541,0.6610352621122748,0.7732415047372495,0.6670845429496872
sc3_ARI,0.12827387950294158,0.9286410292538496,0.8788589456200452,0.8458886651283963,0.9202616326235475,0.90902958976158,0.9306028158223221
cidr_ARI,0.08269545163692632,0.6274868760186332,0.5734715436526103,0.3929982554603577,0.6326898028381379,0.7067041054712159,0.6101545950531245
