,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.005847953216374269,0.04390164755640642,0.03160497488170892,0.0075091258726204925,0.040196462330288125,0.022644160724449296,0.017703816537262947
markers_found,1.0,84.0,58.0,62.0,97.0,66.0,83.0
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seurat_ARI,0.28810318618750913,0.6667941632655026,0.8176013998905601,0.7439159663951954,0.6719263070494315,0.7654651274903396,0.6773740618825937
sc3_ARI,0.1288400908386515,0.9257863879313749,0.8671662029517799,0.7514573354823122,0.9236095012375116,0.9151526217616299,0.9287913209100426
cidr_ARI,0.034328733016609006,0.6384522897543764,0.5977805537614045,0.3780308062868243,0.6714140150384538,0.7001164176158003,0.5425239747757864
