,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.025519174583505232,0.034683629451023115,0.027047762882451042,0.004957767850676349,0.033123133892405045,0.0025247692268519006,0.025040640662236907,0.04302858966030012,0.006338660913802157,0.0,0.01138542329319764,0.03294572884046072,0.031817713846525555,0.01505480877614819
markers_found,140.4,97.0,67.2,109.0,112.6,4.2,112.0,50.0,12.6,121.2,138.2,119.6,119.2,146.4
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299548894.402576,0.0,0.0,0.0,0.0,0.0
singlecellnet_F1,0.9743000742396642,0.9733894980860407,0.973873239572314,0.9618702737664353,0.9719192894986712,0.6497451824987814,0.9724301537280992,0.9661794399519182,0.19314667625154497,0.971944392092885,0.9728997729137128,0.9738414780068165,0.9738290700157597,0.9724204819477752
singleR_F1,0.9707602455661737,0.9724265345239937,0.970362103895269,0.9517415951837845,0.9696293051684858,0.5804417201066452,0.970335990806382,0.9421170910381591,0.19343087082817267,0.9696176123741637,0.9693293306478361,0.9707989233339678,0.9726806925503398,0.9703280133674473
itclust_F1,0.9417660748467943,0.891132310238023,0.8920097214737254,0.9152164849042356,0.9072232713718297,0.6334970117568365,0.9250378084207567,0.8927451947577796,0.17932325222373197,0.8910763627295759,0.9389633657817333,0.9077120997698269,0.8922664988226483,0.8909531729499944
