,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.005578721955757001,0.08178908466813131,0.029675138326321626,0.07454780765580214,0.09270788027652396,0.07766384365778387,0.0234844050914969
markers_found,5.0,32.0,43.0,33.0,28.0,36.0,55.0
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seurat_ARI,-0.0005275028865133315,0.5162008866996677,0.5125159495645873,0.819522541399834,0.513925795104223,0.5725357229186626,0.4184732455791291
sc3_ARI,-0.0006769373895245381,0.9355957279846786,0.9676384768897914,0.8196268598162522,0.969359880510642,0.9724232310108931,0.706970604194977
cidr_ARI,0.006041190099352267,0.510977045795145,0.5544256876739937,0.6357537450129833,0.5221653401021399,0.8044575471475142,0.613897133652654
seurat_F1_rare,0.07319965095831084,0.20931326358417107,0.208074293642674,0.4845135608958143,0.20874759211387528,0.368977876800822,0.209793612239829
sc3_F1_rare,0.07562215367149516,0.7094690641906324,0.5407845929864766,0.40640176811820145,0.71278817889381,0.7235318813455971,0.47678431337220084
cidr_F1_rare,0.07999242376498168,0.16867987865906844,0.17626652817577526,0.4621482139154581,0.16989832519231346,0.40390414718112816,0.3304787734254523
