,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.002522573060822525,0.02882300093020985,0.014986867049944638,0.042845220326054916,0.04627227346613781,0.04624307894618569,0.018080688750014732
markers_found,14.0,93.0,88.0,58.0,57.0,61.0,73.0
computation_time,0.11721600000000001,0.090143,4.4558,1.8350149999999998,3.5353000000000003,5.360251,38.6572
seurat_ARI,0.040374274294401394,0.44562744393991416,0.3839834352617687,0.7664892402951453,0.4866278701388135,0.5048473874460346,0.41634016076478353
sc3_ARI,0.013223703260813208,0.9709792752765415,0.9835021534835995,0.8638980342475028,0.9740448048686503,0.9862291772812884,0.7243659633897832
cidr_ARI,-0.003166585809767448,0.48223629652942696,0.5202422637103726,0.6567405837737144,0.4763197520898904,0.7854685339145292,0.578649516266846
seurat_F1_rare,0.07202536900254024,0.19275318180637538,0.12394301419657291,0.4178293262953452,0.2112413996667093,0.17351278233911352,0.19914751528157573
sc3_F1_rare,0.11658764127414685,0.5426187188529602,0.5008972861685937,0.4974563669603902,0.5347002455647907,0.5242637429350369,0.4665779759434704
cidr_F1_rare,0.07261594007609853,0.1111363580721596,0.1212351731744699,0.45217638191375736,0.09696176876878371,0.4419469237384715,0.30642970838872163
