,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0015969955115339503,0.028392475962224405,0.012498238358209362,0.004205099141925751,0.0327841175033169,0.011642018104197082,0.008805233192893754
markers_found,7.0,132.0,158.0,131.0,120.0,136.0,181.0
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seurat_ARI,0.3531407819125646,0.6629248023874112,0.918731107817792,0.7875366051254253,0.6610352621122748,0.6828859059113227,0.6911023681917545
sc3_ARI,0.21327646333134634,0.9295190731850317,0.8592457093355115,0.795193632182218,0.9202616326235475,0.9237964840253218,0.9324518865329543
cidr_ARI,0.0664402847477791,0.6009098454074908,0.6078349654193541,0.26512523307518665,0.6326898028381379,0.7347463630864488,0.6412078594501225
