,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.04230914139522726,0.08501051033102543,0.11918851013700152,0.0786278608826512,0.08431801278026174,0.007395662487355478,0.035748649910707454,0.04661039267065423,0.021047634455906197,0.0,0.030312793552149015,0.09147403290185552,0.05048168390985787,0.03086155451375901
markers_found,79.8,27.6,20.2,30.8,31.0,4.6,24.8,63.8,13.0,96.6,39.8,28.4,72.8,53.4
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974424301.107702,0.0,0.0,0.0,0.0,0.0
singlecellnet_F1,0.9958952404876882,0.9958952404876882,0.993539442327062,0.9905521872799291,0.9972781614524902,0.5682352667319747,0.9952321354767572,0.9952104926693426,0.4,0.9965346590979971,0.996590069714834,0.996582267525828,0.9952104926693426,0.9965653665043572
singleR_F1,0.9945124182450933,0.9960650244557524,0.9203010940323102,0.9887641019805316,0.9973282379045567,0.16704715401091627,0.9876120861841249,0.9917231034021476,0.39865828605427805,0.9923843761696167,0.9979829776897313,0.9973282379045567,0.9917231034021476,0.9945927107853125
itclust_F1,0.9959260997808157,0.9897094170663892,0.970874766401448,0.9926372840496394,0.9894930924925027,0.4195905965688024,0.9872680386584094,0.9979882677282582,0.3979489103513879,0.9979537143060924,0.9895856627127035,0.9864597964746084,0.9973015651677037,0.9918573002148025
singlecellnet_F1_rare,0.9671826625386997,0.9671826625386997,0.8938854489164088,0.9777089783281735,0.9777089783281735,0.3938888888888889,0.9576588530148902,0.9566563467492261,0.4,0.9539473684210528,0.9671826625386997,0.9777089783281735,0.9566563467492261,0.9671826625386997
singleR_F1_rare,0.9461300309597525,0.9894736842105264,0.7305217391304348,0.9526245280720984,0.9691876750700279,0.13999999999999999,0.8530704589528119,0.9211988304093568,0.4,0.9211988304093568,0.9787114845938376,0.9691876750700279,0.9211988304093568,0.9472013366750209
itclust_F1_rare,0.9789473684210528,0.9045555064130916,0.81203007518797,0.9694235588972433,0.8952614379084967,0.1425907425907426,0.8362836438923396,0.9789473684210528,0.37894736842105264,0.9894736842105264,0.8786181139122317,0.8557017543859649,0.9789473684210528,0.9281537176274017
