,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.03230662879465791,0.045511798261029246,0.03268361190561622,0.007344078122820935,0.04417360044755707,0.003625444132030915,0.03583574518560402,0.06716067261526297,0.010328896958862716,0.0,0.01822805010752739,0.040506737908407864,0.04135518485787158,0.024421002747783478
markers_found,109.6,73.2,55.2,65.2,83.4,1.6,77.2,31.6,7.6,84.8,81.8,96.4,90.8,86.4
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299548894.40168,0.0,0.0,0.0,0.0,0.0
singlecellnet_F1,0.972913268152411,0.9736025064879739,0.9743444586437207,0.936533979746504,0.972423646756261,0.6098280028946859,0.9738134242458425,0.9685117120747361,0.19170202870933434,0.9719546829408644,0.9723911962521781,0.9728609488338273,0.9710136843084849,0.9690897868787033
singleR_F1,0.9721907848313951,0.9701276053865058,0.9684602131898629,0.9097826554639278,0.9678486543403716,0.573224877807797,0.9686552747425484,0.9318363937439791,0.19248244125450836,0.9660526168938757,0.967286246598903,0.9687506063884992,0.9705365134759711,0.9659096700301865
itclust_F1,0.9265740681088168,0.9262166967311473,0.8929896688417266,0.8891077756787764,0.9086614116224444,0.5811617382895135,0.895170916377109,0.9097360255340288,0.1779278020240633,0.9096962132626751,0.93730447865062,0.9066823784789392,0.9433856372273052,0.9241577227162832
