,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.029435009427957144,0.034029415727127976,0.05617153178368173,0.04093026400937168,0.028798219311708582,0.002929772159788861,0.01307874863847291,0.024468297715171342,0.007883053982658785,0.0,0.01459894635894059,0.04644916823269792,0.02884124357401462,0.024387393350415267
markers_found,115.8,69.4,43.2,60.0,93.0,14.6,86.2,123.6,35.8,150.8,86.0,56.8,129.4,70.6
computation_time,0.5675920000000001,57.43549399999999,24.555082000000002,1.423602,0.076734,0.098492,96.33892,2.004062,4726.631493999999,43.557,3.7378,3.0965999999999996,2.37487,32.221999999999994
singlecellnet_F1,0.9938030666639669,0.997247191738461,0.9953410793729635,0.9986599655160422,0.9958952404876882,0.7344170863721897,0.9952183048919199,0.9952082134495484,0.4,0.9938152231269528,0.9952052908653066,0.996582267525828,0.9958952404876882,0.996582267525828
singleR_F1,0.9896720408162871,0.997979645473084,0.9731841424882065,0.9952667338915496,0.9972959506515915,0.5404053859822581,0.9952937818900811,0.9903524052890704,0.39862741621351944,0.9910384555417435,0.9958427358624335,0.9979829776897313,0.9903486873185614,0.9959329338181405
itclust_F1,0.9925935156833903,0.9863351397167367,0.9554394340343253,0.9920337955465548,0.9803799374177398,0.7170855420740903,0.9797998686858953,0.9952804835522627,0.3941936605257294,0.9946252537163647,0.9822879993309117,0.9820097038866349,0.9953093057251315,0.9911129212800646
singlecellnet_F1_rare,0.9344341245270039,0.9777089783281735,0.9167251461988306,1.0,0.9671826625386997,0.38289210789210787,0.9566563467492261,0.9566563467492261,0.4,0.9449604403164775,0.9566563467492261,0.9777089783281735,0.9671826625386997,0.9777089783281735
singleR_F1_rare,0.9211988304093568,0.9882352941176471,0.9439665194140898,0.9777089783281735,0.968185168804364,0.29598506069094305,0.9595271601463551,0.9211988304093568,0.37894736842105264,0.9211988304093568,0.9644736842105264,0.9787114845938376,0.9211988304093568,0.9681851688043638
itclust_F1_rare,0.928185168804364,0.8370866560340244,0.5412013153087323,0.9449604403164775,0.7794790005316319,0.28888888888888886,0.7768797953964195,0.9588972431077695,0.34545454545454546,0.9694235588972431,0.8015873015873016,0.7977421271538918,0.9607655502392346,0.9271826625386999
