"","Gene","effect.size","p.value","q.value"
"ENSG00000115523.GNLY","ENSG00000261024.GS1.279B7.1",23.2400080591939,0,0
"ENSG00000090382.LYZ","ENSG00000254959.INMT.FAM188B",15.0647009722445,9.75437388504272e-229,5.99579336708029e-226
"ENSG00000105374.NKG7","ENSG00000180066.C10orf91",13.9469051479973,0,0
"ENSG00000101439.CST3","ENSG00000233721.RP11.205K6.1",12.6654422952055,3.9555280793988e-182,2.09368298758178e-179
"ENSG00000204287.HLA.DRA","ENSG00000174173.TRMT10C",9.62737076753831,0,0
"ENSG00000143546.S100A8","ENSG00000225605.RP11.550H2.1",7.64713768062821,3.59704108382136e-163,1.67174677688332e-160
"ENSG00000254709.IGLL5","ENSG00000245522.RP11.540A21.2",6.79386044852236,1.01530971328844e-222,5.86264442021551e-220
"ENSG00000163220.S100A9","ENSG00000057468.MSH4",6.46679577717694,2.32087995078002e-169,1.16379914373982e-166
"ENSG00000106066.CPVL","ENSG00000198836.OPA1",5.84401842274896,1.10487637300167e-41,2.56749015701791e-39
"ENSG00000253701.AL928768.3","ENSG00000165175.MID1IP1",5.30200934035107,1.14392033517005e-102,4.44844938503373e-100
"ENSG00000019582.CD74","ENSG00000271993.RP11.285J16.1",5.28142281396818,0,0
"ENSG00000161570.CCL5","ENSG00000251218.RP11.1057B8.2",5.26069935263659,0,0
"ENSG00000107317.PTGDS","ENSG00000164620.RELL2",5.19388425996721,3.37472918190754e-229,2.14351548537494e-226
"ENSG00000196126.HLA.DRB1","ENSG00000066422.ZBTB11",5.06567545222542,0,0
"ENSG00000011600.TYROBP","ENSG00000184719.RNLS",4.62200331932845,0,0
"ENSG00000100453.GZMB","ENSG00000231721.LINC.PINT",4.58751296864485,0,0
"ENSG00000223865.HLA.DPB1","ENSG00000114439.BBX",4.43015104273199,0,0
"ENSG00000179639.FCER1A","ENSG00000223675.RP11.86H7.6",4.33108147786527,1.5027176592135e-13,1.33182720913085e-11
"ENSG00000231389.HLA.DPA1","ENSG00000273125.RP11.115H18.1",4.02655128180738,0,0
"ENSG00000085265.FCN1","ENSG00000243232.PCDHAC2",3.92576532319099,1.2692707558665e-64,3.77905535203691e-62
"ENSG00000105369.CD79A","ENSG00000107816.LZTS2",3.62286094801494,0,0
"ENSG00000145649.GZMA","ENSG00000135900.MRPL44",3.29070289272939,0,0
"ENSG00000132514.CLEC10A","ENSG00000253738.GS1.251I9.4",3.23456739918004,1.29820401614595e-09,7.29713201405933e-08
"ENSG00000158869.FCER1G","ENSG00000181656.GPR88",3.21756037733724,0,0
"ENSG00000197992.CLEC9A","ENSG00000271265.RP11.230C9.4",3.15286582798643,1.01647007534672e-09,5.8164676533729e-08
"ENSG00000198502.HLA.DRB5","ENSG00000081154.PCNP",3.02122006604225,0,0
"ENSG00000137441.FGFBP2","ENSG00000236485.RP1.156L9.1",2.93575996305536,0,0
"ENSG00000169583.CLIC3","ENSG00000156453.PCDH1",2.92590603089575,0,0
"ENSG00000077984.CST7","ENSG00000224842.RP11.123K19.1",2.86918529647579,0,0
"ENSG00000176890.TYMS","ENSG00000233262.RP11.380F14.2",2.86913503911598,5.95222187479169e-10,3.56665370516212e-08
"ENSG00000100079.LGALS2","ENSG00000152219.ARL14EP",2.76124381848806,8.76119393629236e-30,1.60523606207741e-27
"ENSG00000196735.HLA.DQA1","ENSG00000256628.ZBTB11.AS1",2.74033993610037,0,0
"ENSG00000007312.CD79B","ENSG00000187186.RP11.195F19.5",2.5071689837112,0,0
"ENSG00000175063.UBE2C","ENSG00000225756.DBH.AS1",2.4474676814651,0.000489522684348925,0.00329955951548241
"ENSG00000111796.KLRB1","ENSG00000237312.RP11.475C16.2",2.40046579973418,0,0
"ENSG00000100450.GZMH","ENSG00000273319.RP11.138A9.2",2.3827566721715,1.56414645923529e-225,9.31400336897766e-223
"ENSG00000170458.CD14","ENSG00000077097.TOP2B",2.38106995226295,2.45049233806908e-24,3.70588345253225e-22
"ENSG00000166803.KIAA0101","ENSG00000204118.NAP1L6",2.37243753260191,1.80249625173182e-10,1.14488553589166e-08
"ENSG00000171848.RRM2","ENSG00000143622.RIT1",2.36960048207567,1.89056131698881e-07,7.19054808287859e-06
"ENSG00000163687.DNASE1L3","ENSG00000226087.AC106869.2",2.31010177979236,2.47775895719346e-09,1.35282799224417e-07
"ENSG00000100721.TCL1A","ENSG00000047230.CTPS2",2.25179196856097,6.34290666834082e-189,3.55482607544807e-186
"ENSG00000180644.PRF1","ENSG00000248484.RP11.375B1.1",2.22823790472291,0,0
"ENSG00000156738.MS4A1","ENSG00000231102.RP11.298J23.5",2.22430195776989,2.01035632035413e-252,1.32094274773614e-249
"ENSG00000171476.HOPX","ENSG00000228586.AC005042.5",2.22233910846645,0,0
"ENSG00000237541.HLA.DQA2","ENSG00000144815.NXPE3",2.21467982716852,1.49679781729308e-277,1.01862437173284e-274
"ENSG00000132465.IGJ","ENSG00000224076.AC009487.4",2.21410911946862,3.06226909202481e-14,2.77864464516823e-12
"ENSG00000110077.MS4A6A","ENSG00000137166.FOXP4",2.19702788579249,7.76961693677549e-19,9.02744211769859e-17
"ENSG00000113088.GZMK","ENSG00000152056.AP1S3",2.17933654652114,1.84271101694417e-84,6.62506762790023e-82
"ENSG00000106565.TMEM176B","ENSG00000173542.MOB1B",2.15547992835713,1.44148714692326e-19,1.72751808708318e-17
"ENSG00000160307.S100B","ENSG00000177363.LRRN4CL",2.15073659311867,1.9044703519197e-188,1.03684807302371e-185
"ENSG00000008517.IL32","ENSG00000198883.PNMA5",2.08564822708578,0,0
"ENSG00000167711.SERPINF2","ENSG00000137558.PI15",2.04329507085186,4.56491418356035e-05,0.000583357571079551
"ENSG00000167900.TK1","ENSG00000234665.RP11.262H14.3",2.0287218677852,8.47898691832815e-08,3.46209060752513e-06
"ENSG00000100097.LGALS1","ENSG00000255525.RP1.296L11.1",2.01333921315609,0,0
"ENSG00000006075.CCL3","ENSG00000254101.RP11.30J20.1",1.96074391534148,4.5467351020842e-70,1.42029569459368e-67
"ENSG00000158481.CD1C","ENSG00000198691.ABCA4",1.9524754788712,4.35522832305901e-36,9.22098618843215e-34
"ENSG00000203747.FCGR3A","ENSG00000170989.S1PR1",1.93081738604593,8.48917244228688e-167,4.14772258686606e-164
"ENSG00000159674.SPON2","ENSG00000226479.TMEM185B",1.9122584325166,7.76834785897408e-172,4.00069914737165e-169
"ENSG00000118508.RAB32","ENSG00000118855.MFSD1",1.90807529880005,3.36965282520109e-08,1.52362069443736e-06
"ENSG00000123685.BATF3","ENSG00000272824.RP6.74O6.6",1.90446699988495,8.74835841012243e-05,0.000938625954419386
"ENSG00000172116.CD8B","ENSG00000236030.LINC01036",1.90338868416432,2.02427277964854e-298,1.42861177097048e-295
"ENSG00000089685.BIRC5","ENSG00000230857.RP11.318K12.2",1.89295695803053,0.00025053371002272,0.00201346260838588
"ENSG00000179344.HLA.DQB1","ENSG00000114391.RPL24",1.8640412601171,5.17574241017326e-165,2.46559429064629e-162
"ENSG00000129277.CCL4","ENSG00000253288.RP11.238K6.1",1.85621990402972,5.81202214691072e-107,2.35634217041242e-104
"ENSG00000140749.IGSF6","ENSG00000176782.DEFB104A",1.85124364891845,1.18437809713764e-10,7.72887830169786e-09
"ENSG00000172543.CTSW","ENSG00000228231.RP11.124I4.2",1.83045302966974,0,0
"ENSG00000197766.CFD","ENSG00000205488.CALML3.AS1",1.82450435121923,1.07458641565616e-19,1.29596481964102e-17
"ENSG00000048462.TNFRSF17","ENSG00000124333.VAMP7",1.79206973975144,0.000375582020739675,0.00271808408856609
"ENSG00000134545.KLRC1","ENSG00000272047.GTF2H5",1.78460503014769,2.09465008628847e-85,7.67568411427439e-83
"ENSG00000170891.CYTL1","ENSG00000173349.SFT2D3",1.77498704857789,0.000644257719801448,0.00408737155807791
"ENSG00000150045.KLRF1","ENSG00000235381.RP11.477D19.2",1.75850796846916,1.90149659717271e-134,8.42628317654093e-132
"ENSG00000085514.PILRA","ENSG00000250243.RP11.120A1.1",1.71771920997176,0.000100744362775393,0.00103878995275168
"ENSG00000197249.SERPINA1","ENSG00000165195.PIGA",1.70453182412492,2.06969539451294e-09,1.13982791163133e-07
"ENSG00000167641.PPP1R14A","ENSG00000108239.TBC1D12",1.68813106139692,1.56044553255098e-24,2.4174219205495e-22
"ENSG00000170476.MZB1","ENSG00000226238.AC132807.1",1.65596901119925,7.34907931669693e-10,4.3489660366354e-08
"ENSG00000143184.XCL1","ENSG00000116299.KIAA1324",1.65172852269789,6.27024636512869e-41,1.42237552961342e-38
"ENSG00000163453.IGFBP7","ENSG00000224152.AC009506.1",1.65082882028708,4.07059692967817e-71,1.29275374158362e-68
"ENSG00000204257.HLA.DMA","ENSG00000243701.LINC00883",1.64762946723851,1.49548518710342e-109,6.33254894227902e-107
"ENSG00000196154.S100A4","ENSG00000237552.RP11.415A20.1",1.6128258803418,0,0
