"","Gene","effect.size","p.value","q.value"
"ENSG00000115523.GNLY","ENSG00000196171.OR6K2",23.7762996952043,0,0
"ENSG00000105374.NKG7","ENSG00000253167.KIAA0196.AS1",14.3889601134035,0,0
"ENSG00000090382.LYZ","ENSG00000111859.NEDD9",10.5079145072781,1.52927664209325e-35,6.70236487248221e-33
"ENSG00000101439.CST3","ENSG00000238210.RP13.210D15.4",9.93338799485948,6.13850847573088e-33,2.4885513360613e-30
"ENSG00000204287.HLA.DRA","ENSG00000270540.RP11.785G17.1",9.28811761662551,0,0
"ENSG00000143546.S100A8","ENSG00000184313.MROH7",8.58327385523771,1.02511285641275e-38,4.74949430845405e-36
"ENSG00000254709.IGLL5","ENSG00000099219.ERMP1",7.92282693304015,1.20485447929979e-26,4.5437023805408e-24
"ENSG00000163220.S100A9","ENSG00000162391.FAM151A",7.91772702041546,2.85316506565804e-41,1.36079190307973e-38
"ENSG00000253701.AL928768.3","ENSG00000234484.RP1.55C23.7",5.87352768449268,2.31988317657157e-23,8.54982399801921e-21
"ENSG00000161570.CCL5","ENSG00000164896.FASTK",5.60496472223928,0,0
"ENSG00000107317.PTGDS","ENSG00000171557.FGG",5.27927914676748,1.14735404523766e-47,6.20183106585797e-45
"ENSG00000019582.CD74","ENSG00000227227.AC017101.10",5.24290068972912,0,0
"ENSG00000196126.HLA.DRB1","ENSG00000144476.ACKR3",4.96942066353132,0,0
"ENSG00000011600.TYROBP","ENSG00000253712.RP11.697M17.2",4.73928389695671,0,0
"ENSG00000100453.GZMB","ENSG00000235899.RP11.345L23.1",4.49385329948517,1.85096275464803e-219,3.00152120293724e-216
"ENSG00000223865.HLA.DPB1","ENSG00000132329.RAMP1",4.21605371807837,1.76919855162876e-233,3.5861654641515e-230
"ENSG00000106066.CPVL","ENSG00000187672.ERC2",3.90066630426298,1.59755849258913e-05,0.00178662127695347
"ENSG00000231389.HLA.DPA1","ENSG00000177483.RBM44",3.89174174167406,1.2993087816772e-183,1.50497080026268e-180
"ENSG00000085265.FCN1","ENSG00000249690.RP11.1336O20.2",3.81393662735432,1.59135881918832e-17,4.44921976068237e-15
"ENSG00000105369.CD79A","ENSG00000261437.RP11.22C11.2",3.59116719017369,1.4760151064889e-223,2.659451218536e-220
"ENSG00000145649.GZMA","ENSG00000237532.AC012451.1",3.38825251977722,3.12490071899082e-211,4.60667182355955e-208
"ENSG00000158869.FCER1G","ENSG00000162624.LHX8",3.29945919859007,2.69817281124803e-192,3.36565925439985e-189
"ENSG00000169583.CLIC3","ENSG00000151962.RBM46",2.93328677803972,4.90535966664635e-129,4.67913602084336e-126
"ENSG00000198502.HLA.DRB5","ENSG00000232893.AC019068.2",2.91180317016483,5.74226990594373e-143,5.81979054967397e-140
"ENSG00000077984.CST7","ENSG00000229015.RP11.265D19.6",2.90975089023416,5.0714532722228e-162,5.48257908415767e-159
"ENSG00000137441.FGFBP2","ENSG00000225889.AC074289.1",2.90819064746816,2.39060975949689e-109,2.04032251894745e-106
"ENSG00000196735.HLA.DQA1","ENSG00000232328.AC011286.1",2.60784310575139,7.68150297297472e-85,5.66196600953446e-82
"ENSG00000007312.CD79B","ENSG00000130988.RGN",2.57134327964029,6.92759116704696e-129,6.24098990915742e-126
"ENSG00000111796.KLRB1","ENSG00000170234.PWWP2A",2.42995312781356,1.18628800640539e-107,9.61842315593493e-105
"ENSG00000156738.MS4A1","ENSG00000248323.LUCAT1",2.42256828079881,4.58676723924262e-59,2.56479370867442e-56
"ENSG00000100450.GZMH","ENSG00000231683.RP1.27K12.2",2.37438938009859,7.4025127338505e-44,3.6375498937006e-41
"ENSG00000160307.S100B","ENSG00000229694.RP11.305L7.6",2.37416492688748,4.02424584464262e-47,2.10507001989435e-44
"ENSG00000100721.TCL1A","ENSG00000178033.FAM26E",2.37023001899471,5.19956843833378e-44,2.63488130612564e-41
"ENSG00000110077.MS4A6A","ENSG00000164199.GPR98",2.34039978255779,8.45364595552348e-05,0.00783338987512964
"ENSG00000170458.CD14","ENSG00000079150.FKBP7",2.27526851041159,2.93280999012777e-06,0.000396320389999267
"ENSG00000180644.PRF1","ENSG00000153395.LPCAT1",2.27361935421195,1.6414084596431e-72,1.02373383006048e-69
"ENSG00000171476.HOPX","ENSG00000135631.RAB11FIP5",2.24914128408132,1.48644995189743e-82,1.00434468416536e-79
