"","Gene","effect.size","p.value","q.value"
"ENSG00000246705.H2AFJ","ENSG00000204314.PRRT1",1.11627558456494,3.17622879144932e-05,0.0019030085559766
"ENSG00000188042.ARL4C","ENSG00000230005.SNAP47.AS1",1.11612025022253,5.87965001100867e-07,5.00057063131396e-05
"ENSG00000233276.GPX1","ENSG00000235092.AC011747.7",1.11534938758245,3.33865198175238e-08,3.40405832174577e-06
"ENSG00000132963.POMP","ENSG00000234084.RP3.388E23.2",1.11498975775939,4.97192042078329e-05,0.00285149449132752
"ENSG00000138795.LEF1","ENSG00000088179.PTPN4",1.11407795614192,5.04394472103939e-07,4.31084197114322e-05
"ENSG00000119655.NPC2","ENSG00000222004.C7orf71",1.11396992207748,1.01685984742269e-05,0.000674104617483447
"ENSG00000133773.CCDC59","ENSG00000238156.RP11.415D17.4",1.11330737572045,0.000200929535250548,0.00869281996797347
"ENSG00000168234.TTC39C","ENSG00000215114.UBXN2B",1.11257021772628,3.40669455683825e-05,0.00201341422367711
"ENSG00000156411.C14orf2","ENSG00000267988.AC096582.1",1.11187025677129,9.47666332730838e-06,0.000633048372075178
"ENSG00000137309.HMGA1","ENSG00000008324.SS18L2",1.1117141456825,2.92945591830019e-05,0.00176120910122634
"ENSG00000069275.NUCKS1","ENSG00000231246.RP5.965F6.2",1.11137870197207,6.36885156023987e-06,0.000444163707811128
"ENSG00000183696.UPP1","ENSG00000114054.PCCB",1.11127186107897,0.000203158898587643,0.00876751335860285
"ENSG00000081059.TCF7","ENSG00000144451.SPAG16",1.11120237834833,1.24069272578461e-05,0.000803765504399171
"ENSG00000153048.CARHSP1","ENSG00000261570.RP11.744I24.2",1.11112698500023,6.49043736475385e-05,0.00352525780232035
"ENSG00000143110.C1orf162","ENSG00000086015.MAST2",1.10997010338583,5.26255313725087e-08,5.15464123303196e-06
"ENSG00000117523.PRRC2C","ENSG00000226026.RP11.57H12.3",1.10965353271147,6.55708654498019e-05,0.00355039763701024
"ENSG00000003402.CFLAR","ENSG00000230937.MIR205HG",1.10953097501991,6.85919430276075e-05,0.00369105100829116
"ENSG00000198937.CCDC167","ENSG00000169964.TMEM42",1.10894168898998,7.27308637333379e-05,0.00384261396724469
"ENSG00000106560.GIMAP2","ENSG00000157005.SST",1.10777649364207,0.000177056445775003,0.00789508729434062
"ENSG00000173486.FKBP2","ENSG00000235172.CTB.114C7.3",1.10714662933918,0.000168415358394795,0.00758739476385852
"ENSG00000185862.EVI2B","ENSG00000178947.LINC00086",1.10682563873794,5.82813527344029e-05,0.00324643892947066
"ENSG00000163131.CTSS","ENSG00000162409.PRKAA2",1.10667142104945,1.22179190402731e-05,0.000794848576370007
"ENSG00000164111.ANXA5","ENSG00000115718.PROC",1.10663400541825,4.79674752258467e-05,0.00276924811444582
"ENSG00000114353.GNAI2","ENSG00000115750.TAF1B",1.10657526003183,0.000192767721085407,0.00844448547016097
"ENSG00000108848.LUC7L3","ENSG00000215346.AF131215.5",1.10554741292009,0.00016266129074617,0.00740928241987466
"ENSG00000143384.MCL1","ENSG00000235612.RP1.158P9.1",1.10493694913908,0.000147945276481507,0.0068601752538699
"ENSG00000100219.XBP1","ENSG00000108021.FAM208B",1.10459129230824,1.79801806258929e-06,0.000142492931460201
"ENSG00000137815.RTF1","ENSG00000188763.FZD9",1.10425779273295,0.000210860435210865,0.00901066590171921
"ENSG00000198604.BAZ1A","ENSG00000224079.AC091729.7",1.1041834272336,0.000120026413290587,0.00571765168229887
"ENSG00000197622.CDC42SE1","ENSG00000184292.TACSTD2",1.10398826001252,0.000199657948464749,0.00867141471367163
"ENSG00000196329.GIMAP5","ENSG00000228804.RP11.211G3.3",1.10389591970173,7.10411996747998e-06,0.000491509252511958
"ENSG00000103254.FAM173A","ENSG00000236340.AC000099.1",1.10379599429406,0.00018773317687902,0.00826547459314575
"ENSG00000184584.TMEM173","ENSG00000135926.TMBIM1",1.10348285096929,0.000213801459714002,0.00906965559638351
"ENSG00000163346.PBXIP1","ENSG00000116717.GADD45A",1.10296856022724,5.5752113068183e-05,0.0031255244094655
"ENSG00000245164.LINC00861","ENSG00000250241.RP11.9G1.3",1.09952713312166,8.79411239609512e-05,0.00447012681125126
"ENSG00000213145.CRIP1","ENSG00000042813.ZPBP",1.09942568915353,4.71085544730138e-08,4.66669117748293e-06
