,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.015888447880515945,0.0098453060047485,0.02005787595907455,0.018456480385990338,0.005682810401618002,0.0012066584469734628,0.015346523065468715,0.015613097559283484,0.0007047111904920164,0.0,0.018857032111338053,0.019547370597894655,0.017735600801441563,0.02526749023960547
markers_found,145.4,123.2,114.8,102.2,121.0,5.4,190.2,188.8,23.8,96.4,149.0,118.2,169.6,114.6
computation_time,1.902636,14.115891999999999,220.477538,5.835158,0.265108,0.35301600000000005,343.194934,22.998298000000002,2873.6837640000003,131.20379999999997,11.5612,8.43,28.818154,70.47579999999999
scmap_cluster_F1,0.8051634579002656,0.8091350023758845,0.8063436554022289,0.7294066631668936,0.8052383891554182,0.0,0.8077848868779466,0.809469467403178,0.1583937477632075,0.8101125308144755,0.009682226660817866,0.8050238378140213,0.8059215305602784,0.8041932600814364
scmap_cell_F1,0.4912863413414074,0.4895114401489118,0.4896436700995407,0.1787972945885064,0.49710326397209964,0.0,0.4977232359404125,0.4875188622633145,0.09237231674384325,0.4509547618616977,0.0027665589578195157,0.49170398809844873,0.4932633610184509,0.48774799089832044
singleR_F1,0.7517242827572378,0.7512076646286489,0.7526445146760719,0.708114487487784,0.7517197010306278,0.034583170812879,0.7502478911898492,0.7540308418131995,0.14409789188310673,0.7542590649216848,0.6964764132776053,0.7512519626787547,0.7521355991608055,0.7561285750838811
scmap_cluster_F1_rare,0.9377473158971771,0.9377473158971771,0.9423849970565973,0.9381302385557703,0.9377473158971771,0.0,0.9377473158971771,0.9377473158971771,0.1826086956521739,0.9377473158971771,0.5896912675138481,0.9377473158971771,0.9377473158971771,0.9377473158971771
scmap_cell_F1_rare,0.9080338266384776,0.916456256921373,0.9041847041847042,0.8282097945769319,0.9136708701926093,0.0,0.9270337347182644,0.9170764119601328,0.17142857142857143,0.8977507675408981,0.0,0.9123545549454942,0.9174898486526393,0.9504821725853072
singleR_F1_rare,0.9326733201255069,0.9326733201255069,0.9326733201255069,0.9377473158971771,0.9326733201255069,0.0,0.9326733201255069,0.9326733201255069,0.1826086956521739,0.9326733201255069,0.9450277520814062,0.9326733201255069,0.9326733201255069,0.9326733201255069
