,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.030416226461458362,0.03532860340736548,0.05626744366475324,0.0403261397978367,0.02886031416020774,0.0018817439118216123,0.01847121008374277,0.02465615917971306,0.0,0.0,0.03502581921406684,0.02932205980108469,0.029767235670020004,0.01711794619409819
markers_found,111.8,66.8,44.2,60.8,92.8,9.4,89.0,122.6,0.0,151.6,86.0,90.8,125.0,90.4
computation_time,0.736782,57.621834,13.031953999999999,1.6148400000000003,0.076776,0.11039399999999999,108.35606600000001,2.140028,1848.9022579999996,58.6108,5.3288,3.6942,3.010276,40.1074
scmap_cluster_F1,0.9934419187794358,0.9824460568392018,0.21554223713824766,0.0,0.9852371132046551,0.006394079598821015,0.978865633476825,0.9927913465358212,0.0,0.9757223618159501,0.31223412488636765,0.9825949282785352,0.99248098816217,0.9935624408365638
scmap_cell_F1,0.97043221072691,0.9136530987354721,0.8359543819744817,0.08209355507564678,0.9164122563098063,0.0,0.8995923109350465,0.9682954421699961,0.0,0.9690417313219657,0.8768154091015651,0.9087141394090923,0.9727786484771273,0.9566105981158811
singleR_F1,0.9924226232968856,0.997979645473084,0.9828759823181681,0.9959462681281309,0.9972959506515915,0.24840123505106323,0.996582267525828,0.9910464568998731,0.0,0.9910384555417435,0.9958427358624335,0.9979529065394989,0.9896720408162871,0.9972781614524902
scmap_cluster_F1_rare,0.9327777777777777,0.8369865841073271,0.0,0.0,0.832330827067669,0.0,0.7723893065998328,0.9327777777777777,0.0,0.8402906776745785,0.0,0.7641880341880342,0.9138972431077693,0.9349999999999999
scmap_cell_F1_rare,0.5065934065934067,0.10303030303030303,0.03636363636363636,0.0,0.10303030303030303,0.0,0.03636363636363636,0.47099567099567097,0.0,0.5214158390628978,0.03636363636363636,0.16503496503496504,0.4332773109243697,0.23636363636363633
singleR_F1_rare,0.9434210526315792,0.9882352941176471,0.9344427098902802,0.9777089783281735,0.968185168804364,0.06153846153846153,0.9777089783281735,0.9211988304093568,0.0,0.9211988304093568,0.9644736842105264,0.9777089783281735,0.9211988304093568,0.9777089783281735
