,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.02528784178643534,0.0347884729710087,0.027312187561068207,0.00496774369326794,0.033123133892405045,0.0013839315654942566,0.024503756807766373,0.04278549983816911,0.0,0.0,0.022410229204281748,0.03294579961381241,0.030522771519784126,0.020518024821215158
markers_found,145.4,96.8,66.6,109.0,112.6,0.8,114.4,50.0,0.0,120.4,138.2,119.6,125.0,134.6
computation_time,0.832592,68.57855,49.491742,1.6421700000000001,0.08229600000000001,0.11566999999999998,113.19733999999998,2.797934,1933.151796,74.623,4.581,3.7508000000000004,3.393428000000001,61.129599999999996
scmap_cluster_F1,0.9682242606135334,0.96758229784359,0.9701537743415859,0.4184238545679051,0.9676327335225942,0.019549047534208646,0.9670226590723947,0.9641884889516448,0.0,0.9648907106975191,0.9618417711258758,0.9678049509862892,0.9665415269254021,0.9664609936504659
scmap_cell_F1,0.9634329064099043,0.9470953650485121,0.8651307375915989,0.5960204725820006,0.9484055682141923,0.0,0.9502156790044621,0.818415394977847,0.0,0.9303525872358666,0.939561215493705,0.9489299058758054,0.9528610828552038,0.9333452805888267
singleR_F1,0.9727081290398205,0.9712841745603571,0.9689580344074787,0.9519080123751434,0.9696293051684858,0.43580046330332517,0.9736074219116743,0.9423498023308419,0.0,0.9691547074104637,0.9693293306478361,0.9707989233339678,0.9702806014255281,0.9703704237504972
