,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.025430722363546886,0.03427575365127062,0.04132362721130914,0.01876899769765068,0.03611378991974325,0.0017847103181257667,0.027936210885455216,0.0029092266089867187,0.0,0.0,0.0121901973369505,0.031487941008574674,0.020447161491926012,0.026562420936230867
markers_found,147.4,82.4,50.2,112.0,103.0,1.6,120.4,99.0,0.0,111.2,154.2,125.2,128.6,129.4
computation_time,0.9111800000000001,166.584452,36.804773999999995,1.7383200000000003,0.087638,0.1203,127.91746400000002,2.971342,1834.1693520000001,80.329,4.8024000000000004,4.068199999999999,3.8874520000000006,106.253
scmap_cluster_F1,0.9908558955422706,0.9938520612311452,0.9789295975926855,0.7482484856716815,0.9921120416854221,0.0,0.9913533491083261,0.9944010788816078,0.0,0.9883956192708453,0.9617805496241028,0.9949206683288679,0.9939470440836761,0.9906432347429392
scmap_cell_F1,0.9885223892475562,0.982303802196452,0.9673054844347145,0.9442398411322983,0.9772576894811721,0.0,0.982639963875919,0.9816751062071862,0.0,0.9809089031564519,0.9884788236682593,0.981835814968257,0.9876321327904686,0.9777918996167703
singleR_F1,0.9951984785724335,0.9966798348641402,0.9948063679371669,0.991555436577725,0.9924700979451606,0.10280325397453001,0.9947466688838131,0.9948014620312042,0.0,0.9934268800829728,0.9962224316421382,0.9948130082076698,0.9938456746881095,0.993467659518134
