,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0024768117914556785,0.04429937352915238,0.054964857425990686,0.05626411397045515,0.04627227346613781,0.06012913973587428,0.018226377895970675
markers_found,5.0,60.0,58.0,44.0,57.0,47.0,78.0
computation_time,0.137163,0.10245299999999999,5.7841000000000005,2.217399,4.1308,6.664071,42.07639999999999
seurat_ARI,-0.002039700475640325,0.49238879572276717,0.4342935507517146,0.7990973980043675,0.48638983756713927,0.5527194287907582,0.3941518701410562
sc3_ARI,0.00507727404839657,0.9694299925589887,0.9846851595978329,0.8700110298045175,0.9740531131200832,0.9881428358650322,0.7081586973014845
