,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0014296108270283308,0.024459531335883515,0.016153147144156454,0.013939410805480662,0.022971054209971288,0.01665249364248054,0.011405748415127781
markers_found,2.0,153.0,196.0,140.0,173.0,148.0,190.0
computation_time,0.14869700000000002,0.112151,6.2804,2.22196,4.7965,6.790845999999999,127.81980000000001
seurat_ARI,0.21655468520535623,0.40959789677388797,0.5868196166671862,0.6781448793605797,0.4257625034867824,0.7033421217787699,0.47150070334806504
sc3_ARI,0.04553017914520187,0.7901251611310155,0.7245728847621857,0.701944227537868,0.8462310418681513,0.7837527656017783,0.736183834074699
