,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.003000062875569248,0.008406514026164377,0.02006999247270566,0.030461501575854293,0.030827485650334434,0.03543197528044389,0.025091940153201542
markers_found,2.0,76.0,125.0,67.0,74.0,73.0,117.0
computation_time,0.510311,0.36533899999999997,17.0298,8.139411,11.011099999999999,19.039129,86.9671
seurat_ARI,0.07985228429336247,0.7362869008825517,0.5720294954280949,0.5537822026990098,0.7298685206591571,0.737464690121859,0.740267782562461
sc3_ARI,0.046325364595459585,0.7041873914956674,0.4687331675192855,0.3336466835229791,0.7006904302319861,0.706470821205353,0.7147902577817771
