,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.021158177689434482,0.013246674651487364,0.03443288297245809,0.02790133374188647,0.008671779687750677,0.0024321891204176172,0.020900088274920035,0.021762004700401762,0.0,0.0,0.02259016885033282,0.030802493714418504,0.025224765072826193,0.02530439847939585
markers_found,108.0,89.8,66.4,66.8,75.6,1.8,137.8,133.6,0.0,74.0,123.6,74.0,117.6,114.4
computation_time,2.4710499999999995,31.703771999999997,312.721324,6.18879,0.29885799999999996,0.39925600000000006,367.12498800000003,25.989795999999995,1820.0132980000003,138.75139999999996,12.293800000000001,8.9916,28.487832000000004,79.05499999999999
scmap_cluster_F1,0.8029767858239634,0.8083527102632745,0.8125654313224542,0.7206373163858848,0.8006314039956102,0.0,0.8098644088441714,0.8113472175427205,0.0,0.8085895438669697,0.11498161136305726,0.8006133859556595,0.8047908921306661,0.8041754708895648
scmap_cell_F1,0.5108249559248063,0.4987630468233807,0.4671279021265634,0.14157458887300733,0.4948584567517683,0.0,0.5030215757502333,0.5004012792253559,0.0,0.4613678162942696,0.017064598085110544,0.4906183974773365,0.5038307512321406,0.5046078469773247
singleR_F1,0.7540101991079334,0.757263412892709,0.7586089981611416,0.7284066246625275,0.7505463037680771,0.10247755653340027,0.7534335529806908,0.7570409736996933,0.0,0.7553108111215382,0.6929689736344398,0.7440360390164754,0.7560622626740916,0.756423670977574
scmap_cluster_F1_rare,0.9377473158971771,0.9377473158971771,0.9423849970565973,0.9427679197151907,0.9377473158971771,0.0,0.9377473158971771,0.9377473158971771,0.0,0.9377473158971771,0.8601686458748284,0.9470314617030621,0.9377473158971771,0.9377473158971771
scmap_cell_F1_rare,0.9236134857166203,0.918167723749119,0.897177086479412,0.8013771459059097,0.9278646934460888,0.0,0.9223866572703783,0.9159998074052673,0.0,0.9117337871053129,0.015999999999999997,0.9162488674116581,0.9315010570824525,0.9223960535588441
singleR_F1_rare,0.9326733201255069,0.9326733201255069,0.9326733201255069,0.9423726627981945,0.9326733201255069,0.22368070953436808,0.9326733201255069,0.9326733201255069,0.0,0.9326733201255069,0.9402173913043479,0.9326733201255069,0.9326733201255069,0.9326733201255069
