,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.02154637612304422,0.026506272871161012,0.020567931370729996,0.003811738651895831,0.025810968413438967,0.0007573971447016844,0.017889747458574193,0.0237719011983527,0.0,0.0,0.01760884031158797,0.025587164426213144,0.02452201419880081,0.014847392807279697
markers_found,171.4,127.8,89.0,150.0,145.4,8.2,157.0,91.2,0.0,153.2,177.4,155.0,156.0,191.4
computation_time,0.5673739999999999,22.971559999999997,26.436442,1.38138,0.068484,0.091118,98.531698,1.8910360000000002,1836.645406,56.907999999999994,3.7884,3.1304,2.482688,51.525400000000005
scmap_cluster_F1,0.9692875493428861,0.9697721326333847,0.9667233221395721,0.5268765601995682,0.9676064578469626,0.039657131528866046,0.968143999632729,0.9667404827575039,0.0,0.965246191839342,0.9499939354150566,0.969109892871802,0.967100072485081,0.9684096393016445
scmap_cell_F1,0.9529654859350604,0.9501877020930314,0.8539058324394635,0.8954035122529245,0.9464380458936125,0.0,0.9530707183755499,0.9159074116967412,0.0,0.945647477877481,0.9517533386625537,0.9514600680529799,0.9538898032166256,0.9508799537398808
singleR_F1,0.9721764073510265,0.9740595530272277,0.9694152057288189,0.9662005018460332,0.9722170408269359,0.489862744372462,0.9726674225958387,0.9645445221373453,0.0,0.9726745997178685,0.9707213264541832,0.9731733823883145,0.974040842189743,0.9712840043445405
