,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0017168647191738503,0.028822612706901885,0.036460745873291796,0.04213238661181117,0.029248716514551753,0.04569457762663119,0.016257392797477836
markers_found,9.0,93.0,88.0,59.0,91.0,62.0,88.0
computation_time,0.126191,0.097637,5.2076,2.03217,3.8323,5.69269,42.2719
seurat_ARI,0.009733085986730165,0.44975051528434246,0.3826143841460027,0.7459771560978603,0.44903585558773174,0.52303418385207,0.3996054503859948
sc3_ARI,0.01684908953074906,0.9711702684578836,0.9835213010062681,0.8504291608006002,0.8867408745157979,0.988231503856247,0.7252390393522843
