,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0018425626204042374,0.005582806054302615,0.01695213022569069,0.020053502573437916,0.01959467082346875,0.02219856976719802,0.025091940153201542
markers_found,4.0,120.0,149.0,103.0,118.0,119.0,117.0
computation_time,0.485971,0.350385,15.975000000000003,7.42559,11.0362,18.728866,83.58840000000001
seurat_ARI,0.011993171269669076,0.7380265711530867,0.5701856951490301,0.5799444916362473,0.7373621561395393,0.7283037535607997,0.7403841659182605
sc3_ARI,0.014358502059661465,0.704679241560013,0.49437721578285626,0.48338538100298356,0.7079262399001114,0.7047703236786031,0.7134309711466151
