,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0007055654575959083,0.025724715525013188,0.016880487342186588,0.003709762856610086,0.02538312134045746,0.00685378721789869,0.015401813415875187
markers_found,6.0,146.0,177.0,152.0,156.0,159.0,188.0
computation_time,0.11852599999999999,0.088353,4.413799999999999,1.7501120000000001,3.7542999999999997,5.504854999999999,67.76599999999999
seurat_ARI,0.28117093670301385,0.6642303347496322,0.9187206388622677,0.7435655236864657,0.6671054894102205,0.6809444126313692,0.6887394047180312
sc3_ARI,0.15868945533457443,0.9310656391518931,0.85161587747178,0.7889907728996708,0.9317179400900656,0.9255592435098287,0.9315177326988653
