,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0012919896640826872,0.03303386054361685,0.021603085768413962,0.004857103489965821,0.032784145160233646,0.009280927777830088,0.021025958398400775
markers_found,1.0,113.0,137.0,110.0,120.0,114.0,136.0
computation_time,0.13637,0.095307,4.910200000000001,1.9105530000000002,4.2762,6.1727620000000005,78.0615
seurat_ARI,0.16271458123877774,0.6677149425421165,0.8996784784247005,0.8468811936873625,0.665614855961625,0.8440984336735331,0.6554118055732847
sc3_ARI,0.05972084037691209,0.9288150378185298,0.8690259389614494,0.8484828524045029,0.9106513943173665,0.9212891947068366,0.9302392565779763
