,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.02136114756137733,0.02512932250196729,0.028370823107244498,0.01497724087517462,0.02482389377819737,0.0016695717253752337,0.01423667246225348,0.0020339793694318393,0.0,0.0,0.009787945829036648,0.02308721790973055,0.015712477760398767,0.018253417265152307
markers_found,176.2,113.0,73.6,141.4,151.2,1.8,156.2,164.8,0.0,153.2,195.0,172.2,175.6,190.8
computation_time,0.6957260000000001,84.68184799999999,32.58714,1.643524,0.08138,0.108142,116.816984,2.4141019999999997,1876.9300660000001,68.5166,4.3632,3.4834000000000005,3.0983899999999998,93.8656
scmap_cluster_F1,0.9846712361176084,0.9881019864688009,0.9525099676281281,0.7284750217947192,0.9896325771275387,0.010226811004515824,0.9652038920422562,0.991640415454788,0.0,0.9846852198941864,0.8828758687900956,0.9881363674673823,0.9901890774622968,0.9900626052788954
scmap_cell_F1,0.9883473525824795,0.9848718780756254,0.9390570166559253,0.970846882880586,0.9791519342744079,0.0,0.9617925037868865,0.9886244972258276,0.0,0.9858015229306535,0.9876091041643729,0.982577604171319,0.9898105296593988,0.9875791232743973
singleR_F1,0.9933012033372195,0.9957373137371605,0.9937879523797222,0.9957561894044356,0.9957528018123633,0.3018114015590554,0.9894848300732398,0.9933037164245608,0.0,0.9947125929654612,0.9962224316421382,0.9956751527129828,0.9928246868930728,0.9940108934720477
